--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2026-04-07
Commit: f914b06aa67d742b65ba9cda6601f55c4a644d72

Go version: go1.26.0

CPU:
- arch: arm64
- physical cores: 4
- logical cores: 4

CPU features:
- SVE: true
- AES: true
- SHA1: true
- SHA2: true
- SHA512: true
- SHA3: true
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
go: downloading github.com/zeebo/blake3 v0.2.4
go: downloading golang.org/x/crypto v0.49.0
go: downloading lukechampine.com/blake3 v1.2.1
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkHashing/1MiB-SHAKE128-256-4               	     645	   1856329 ns/op	 564.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-SHAKE256-512-4               	     525	   2281972 ns/op	 459.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE3_zeebo-4               	     706	   1695435 ns/op	 618.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE3_lukechampine-4        	     571	   2097297 ns/op	 499.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE2b-256-4                	     867	   1381328 ns/op	 759.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE2s-256-4                	     506	   2366484 ns/op	 443.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE2b-512-4                	     867	   1380480 ns/op	 759.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-SHA1-4                       	    2335	    513179 ns/op	2043.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA-256-4                   	     242	   4937156 ns/op	2123.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA-512-4                   	     151	   7903461 ns/op	1326.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA3-256-4                  	      51	  22797093 ns/op	 459.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA3-512-4                  	      27	  42744321 ns/op	 245.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHAKE128-256-4              	      63	  18538774 ns/op	 565.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHAKE256-512-4              	      51	  22793782 ns/op	 460.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE3_zeebo-4              	      69	  16924448 ns/op	 619.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE3_lukechampine-4       	      56	  21095179 ns/op	 497.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE2b-256-4               	      86	  13807289 ns/op	 759.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE2s-256-4               	      50	  23660921 ns/op	 443.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE2b-512-4               	      86	  13800778 ns/op	 759.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA1-4                      	     232	   5129696 ns/op	2044.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA-256-4                  	      24	  49368970 ns/op	2123.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA-512-4                  	      14	  79052513 ns/op	1326.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA3-256-4                 	       5	 228010107 ns/op	 459.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA3-512-4                 	       3	 427369708 ns/op	 245.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHAKE128-256-4             	       6	 185367762 ns/op	 565.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHAKE256-512-4             	       5	 227888512 ns/op	 460.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE3_zeebo-4             	       6	 169195608 ns/op	 619.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE3_lukechampine-4      	       5	 213817722 ns/op	 490.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE2b-256-4              	       8	 138019113 ns/op	 759.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE2s-256-4              	       5	 236606486 ns/op	 443.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE2b-512-4              	       8	 137983082 ns/op	 759.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA1-4                     	      22	  51311402 ns/op	2043.55 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/hashing	130.792s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/mac
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/mac
BenchmarkMac/64B-HMAC-SHA2-256-4         	 1992595	       606.0 ns/op	 105.61 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64B-HMAC-SHA2-512-4         	 1000000	      1033 ns/op	  61.98 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/64B-SHA3-256-4              	 3513726	       341.5 ns/op	 187.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-SHA3-512-4              	 1883539	       637.3 ns/op	 100.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-SHAKE256-512-4          	 3633800	       330.1 ns/op	 193.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-KMAC-128-4              	  917587	      1384 ns/op	  46.26 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/64B-KMAC-256-4              	  893175	      1365 ns/op	  46.90 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/64B-HMAC-SHA3-256-4         	  668636	      1915 ns/op	  33.43 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/64B-HMAC-SHA3-512-4         	  687050	      1797 ns/op	  35.62 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/64B-BLAKE3-256_zeebo-4      	  817875	      1508 ns/op	  42.43 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-BLAKE3-512_zeebo-4      	  845481	      1397 ns/op	  45.80 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-BLAKE3-256_lukechampine-4         	 2237380	       536.3 ns/op	 119.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-BLAKE3-512_lukechampine-4         	 2228902	       538.4 ns/op	 118.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-BLAKE2b-256-4                     	 2486931	       481.8 ns/op	 132.82 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/64B-BLAKE2s-256-4                     	 3024534	       393.5 ns/op	 162.65 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/64B-poly1305-4                        	29636016	        40.46 ns/op	1581.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-HMAC-SHA2-256-4                  	 1000000	      1064 ns/op	 962.64 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/1KiB-HMAC-SHA2-512-4                  	  704311	      1805 ns/op	 567.31 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/1KiB-SHA3-256-4                       	  495044	      2423 ns/op	 422.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-SHA3-512-4                       	  268282	      4469 ns/op	 229.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-SHAKE256-512-4                   	  497088	      2412 ns/op	 424.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-KMAC-128-4                       	  380552	      3169 ns/op	 323.18 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/1KiB-KMAC-256-4                       	  348610	      3432 ns/op	 298.40 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/1KiB-HMAC-SHA3-256-4                  	  302613	      4012 ns/op	 255.26 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/1KiB-HMAC-SHA3-512-4                  	  204679	      5886 ns/op	 173.97 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/1KiB-BLAKE3-256_zeebo-4               	  420486	      2883 ns/op	 355.19 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-BLAKE3-512_zeebo-4               	  425683	      2746 ns/op	 372.89 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-BLAKE3-256_lukechampine-4        	  505237	      2370 ns/op	 432.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-BLAKE3-512_lukechampine-4        	  503882	      2373 ns/op	 431.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-BLAKE2b-256-4                    	  702718	      1660 ns/op	 616.70 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/1KiB-BLAKE2s-256-4                    	  468670	      2546 ns/op	 402.13 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/1KiB-poly1305-4                       	 2809014	       427.0 ns/op	2398.12 MB/s	       0 B/op	       0 allocs/op
