--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2026-04-07
Commit: f914b06aa67d742b65ba9cda6601f55c4a644d72

Go version: go1.26.0

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 16

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- SHA-3: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
go: downloading github.com/zeebo/blake3 v0.2.4
go: downloading golang.org/x/crypto v0.49.0
go: downloading lukechampine.com/blake3 v1.2.1
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7763 64-Core Processor
BenchmarkHashing/1MiB-SHAKE128-256-4               	     486	   2473478 ns/op	 423.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-SHAKE256-512-4               	     392	   3050071 ns/op	 343.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE3_zeebo-4               	    4279	    279237 ns/op	3755.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE3_lukechampine-4        	    2574	    466097 ns/op	2249.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE2b-256-4                	     928	   1291793 ns/op	 811.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE2s-256-4                	     692	   1743768 ns/op	 601.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-BLAKE2b-512-4                	     928	   1291810 ns/op	 811.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-SHA1-4                       	    1936	    619176 ns/op	1693.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA-256-4                   	     181	   6619489 ns/op	1584.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA-512-4                   	      76	  15475475 ns/op	 677.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA3-256-4                  	      38	  30421238 ns/op	 344.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA3-512-4                  	      20	  57089295 ns/op	 183.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHAKE128-256-4              	      48	  24642285 ns/op	 425.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHAKE256-512-4              	      38	  30448118 ns/op	 344.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE3_zeebo-4              	     429	   2791774 ns/op	3755.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE3_lukechampine-4       	     258	   4663519 ns/op	2248.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE2b-256-4               	      92	  12919550 ns/op	 811.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE2s-256-4               	      68	  17298823 ns/op	 606.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-BLAKE2b-512-4               	      92	  12932976 ns/op	 810.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-SHA1-4                      	     193	   6197718 ns/op	1691.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA-256-4                  	      18	  66081540 ns/op	1586.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA-512-4                  	       7	 154683049 ns/op	 677.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA3-256-4                 	       4	 304604319 ns/op	 344.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA3-512-4                 	       2	 570811459 ns/op	 183.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHAKE128-256-4             	       5	 246570496 ns/op	 425.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHAKE256-512-4             	       4	 304545320 ns/op	 344.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE3_zeebo-4             	      37	  31973898 ns/op	3279.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE3_lukechampine-4      	      24	  49267025 ns/op	2128.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE2b-256-4              	       8	 129220393 ns/op	 811.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE2s-256-4              	       6	 172943767 ns/op	 606.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-BLAKE2b-512-4              	       8	 129172417 ns/op	 811.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-SHA1-4                     	      19	  61932306 ns/op	1693.10 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/hashing	127.491s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/mac
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/mac
cpu: AMD EPYC 7763 64-Core Processor
BenchmarkMac/64B-HMAC-SHA2-256-4         	 2063806	       584.8 ns/op	 109.44 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64B-HMAC-SHA2-512-4         	  821470	      1326 ns/op	  48.26 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/64B-SHA3-256-4              	 2622438	       457.2 ns/op	 139.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-SHA3-512-4              	 1379325	       870.6 ns/op	  73.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-SHAKE256-512-4          	 2724348	       440.9 ns/op	 145.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-KMAC-128-4              	  661634	      1650 ns/op	  38.78 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/64B-KMAC-256-4              	  738792	      1609 ns/op	  39.76 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/64B-HMAC-SHA3-256-4         	  510843	      2199 ns/op	  29.10 MB/s	     864 B/op	       5 allocs/op
