--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2023-08-09

Go version: go1.21.0

CPU:
- arch: arm64
- physical cores: 8
- logical cores: 8

CPU features:
- SVE: false
- AES: true
- SHA1: true
- SHA2: true
- SHA512: false
- SHA3: false
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkHashing/1MiB-zeebo_blake3_512-8               	     460	   2579368 ns/op	 406.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha1-8                          	     205	   5855598 ns/op	1790.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha256-8                        	     212	   5643766 ns/op	1857.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha256_simd-8                   	     211	   5671194 ns/op	1848.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_256-8                   	      57	  20358906 ns/op	 515.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2s_256-8                   	      33	  35474638 ns/op	 295.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3-8                          	      31	  37370048 ns/op	 280.59 MB/s	     960 B/op	       4 allocs/op
BenchmarkHashing/10MiB-lukechampine_blake3_256-8       	      37	  32199129 ns/op	 325.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-zeebo_blake3_256-8              	      44	  25705066 ns/op	 407.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha2_512-8                      	      28	  40360088 ns/op	 259.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_512-8                   	      58	  20289784 ns/op	 516.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3_512-8                      	      16	  68889090 ns/op	 152.21 MB/s	    1024 B/op	       4 allocs/op
BenchmarkHashing/10MiB-lukechampine_blake3_512-8       	      34	  31921420 ns/op	 328.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-zeebo_blake3_512-8              	      44	  25734557 ns/op	 407.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha1-8                           	       2	 596807464 ns/op	1799.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha256-8                         	       2	 582651268 ns/op	1842.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha256_simd-8                    	       2	 581028716 ns/op	1848.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_256-8                    	       1	2099371374 ns/op	 511.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2s_256-8                    	       1	3675157325 ns/op	 292.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3-8                           	       1	3838200781 ns/op	 279.75 MB/s	     960 B/op	       4 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3_256-8        	       1	3262673216 ns/op	 329.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3_256-8               	       1	2636049903 ns/op	 407.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha2_512-8                       	       1	4161009968 ns/op	 258.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_512-8                    	       1	2087059075 ns/op	 514.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3_512-8                       	       1	7078162974 ns/op	 151.70 MB/s	    1024 B/op	       4 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3_512-8        	       1	3270536895 ns/op	 328.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3_512-8               	       1	2655151408 ns/op	 404.40 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/hashing	190.467s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/checksum
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/checksum
BenchmarkChecksum/64B-crc32-8         	100000000	        10.63 ns/op	6018.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-crc64-8         	 8773990	       136.2 ns/op	 469.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-xxh3-8          	86891786	        13.83 ns/op	4629.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-xxh3_128-8      	63042026	        18.27 ns/op	3502.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-xxhash-8        	64812310	        18.25 ns/op	3506.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-crc32-8        	22680620	        51.67 ns/op	19818.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-crc64-8        	 1632196	       747.8 ns/op	1369.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-xxh3-8         	 7598332	       157.4 ns/op	6505.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-xxh3_128-8     	 6917852	       172.1 ns/op	5950.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-xxhash-8       	 6837057	       171.8 ns/op	5961.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-crc32-8       	 1705147	       707.7 ns/op	23149.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-crc64-8       	  115158	     10337 ns/op	1584.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-xxh3-8        	  504206	      2305 ns/op	7108.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-xxh3_128-8    	  505513	      2369 ns/op	6916.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-xxhash-8      	  517543	      2317 ns/op	7070.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-crc32-8       	  418546	      2805 ns/op	23361.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-crc64-8       	   28586	     41771 ns/op	1568.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-xxh3-8        	  127522	      9287 ns/op	7056.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-xxh3_128-8    	  129818	      9389 ns/op	6979.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-xxhash-8      	  124800	      9410 ns/op	6964.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-crc32-8        	   26197	     45243 ns/op	23176.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-crc64-8        	    1783	    678478 ns/op	1545.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-xxh3-8         	    7761	    151374 ns/op	6927.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-xxh3_128-8     	    7873	    149832 ns/op	6998.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-xxhash-8       	    8059	    149437 ns/op	7016.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-crc32-8       	    2068	    579678 ns/op	18088.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-crc64-8       	     157	   7500947 ns/op	1397.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-xxh3-8        	     720	   1661054 ns/op	6312.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-xxh3_128-8    	     746	   1597945 ns/op	6562.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-xxhash-8      	     747	   1681073 ns/op	6237.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-crc32-8        	      13	  88421150 ns/op	12143.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-crc64-8        	       2	 752143778 ns/op	1427.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-xxh3-8         	       6	 169863428 ns/op	6321.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-xxh3_128-8     	       6	 170103547 ns/op	6312.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-xxhash-8       	       6	 169017532 ns/op	6352.84 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/checksum	73.692s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/chunking
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/chunking
