go run -ldflags "-X main.GitCommit=3ed0f8babee4197676b9947836e501a41aaaf727" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-20
Commit: 3ed0f8babee4197676b9947836e501a41aaaf727

Go version: go1.21.6

CPU:
- arch: arm64
- physical cores: 16
- logical cores: 16

CPU features:
- SVE: true
- AES: true
- SHA1: true
- SHA2: true
- SHA512: true
- SHA3: true
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkHashing/1GiB-sha3-16                             	       1	2918906346 ns/op	 367.86 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1GiB-sha1-16                             	       2	 685090127 ns/op	1567.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha2_512-16                         	       1	1054001085 ns/op	1018.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3_512-16                 	       1	2316505204 ns/op	 463.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3_512-16          	       1	2782227177 ns/op	 385.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_512-16                      	       1	1816561685 ns/op	 591.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3_512-16                         	       1	5366965141 ns/op	 200.06 MB/s	     960 B/op	       3 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/hashing	191.407s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/mac
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/mac
BenchmarkMac/64B-sha256-16         	 1824511	       662.2 ns/op	  96.65 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64B-zeebo_blake3_256-16         	  907170	      1292 ns/op	  49.53 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-lukechampine_blake3_256-16  	 1758984	       682.9 ns/op	  93.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-blake2b_256-16              	 2124147	       566.1 ns/op	 113.06 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/64B-blake2s_256-16              	 2612007	       458.7 ns/op	 139.54 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/64B-sha3-16                     	  446078	      2656 ns/op	  24.09 MB/s	    2176 B/op	       7 allocs/op
